timestamp,open,high,low,close,volume
2025-04-17,1577.33,1615.37,1565.33,1581.92,742.73740974
2025-04-18,1583.82,1600.0,1574.19,1588.98,378.04106495
2025-04-19,1588.48,1630.3,1586.47,1614.47,1650.29744898
2025-04-20,1613.08,1617.87,1566.0,1585.97,570.35208591
2025-04-21,1587.67,1655.57,1563.7,1579.69,1167.03789829
2025-04-22,1579.5,1775.94,1539.85,1755.68,4181.38045233
2025-04-23,1757.3,1832.92,1747.04,1795.61,1368.24373878
2025-04-24,1796.53,1801.0,1723.85,1769.4,577.75957682
2025-04-25,1769.69,1825.17,1740.26,1785.32,2404.41121867
2025-04-26,1791.34,1842.9,1780.01,1822.25,977.87008171
2025-04-27,1822.23,1855.24,1784.0,1793.45,402.11399053
2025-04-28,1791.74,1826.49,1747.24,1798.2,1055.550895
2025-04-29,1799.43,1841.9,1782.92,1799.12,945.38483725
2025-04-30,1799.03,1815.81,1733.67,1792.41,631.19817865
2025-05-01,1793.8,1871.07,1793.8,1839.59,789.20534575
2025-05-02,1837.93,1870.0,1815.18,1841.6,748.27525611
2025-05-03,1842.2,1846.35,1811.75,1833.35,159.9420589
2025-05-04,1833.91,1848.1,1804.51,1808.93,183.46989355
2025-05-05,1808.05,1831.58,1783.45,1819.78,951.78985571
2025-05-06,1819.85,1820.24,1752.76,1814.85,1467.24128094
2025-05-07,1816.98,1849.0,1788.41,1811.04,1552.67384624
2025-05-08,1814.7,2223.61,1810.94,2207.75,3169.27771327
2025-05-09,2206.94,2486.46,2185.46,2345.19,2971.01394999
2025-05-10,2345.35,2598.22,2319.86,2580.59,2198.53077817
2025-05-11,2581.88,2605.67,2438.97,2510.24,1903.35827406
2025-05-12,2514.77,2622.0,2407.62,2493.75,2435.38844599
2025-05-13,2495.5,2736.67,2416.55,2678.92,2641.204644
2025-05-14,2679.37,2722.48,2550.0,2606.3,1309.02786152
2025-05-15,2609.8,2644.95,2478.43,2548.1,1767.54809159
2025-05-16,2548.6,2645.83,2532.61,2536.07,1509.90059002
2025-05-17,2536.69,2536.69,2446.49,2475.54,1406.13541767
2025-05-18,2475.36,2584.95,2320.0,2495.94,2082.39798521
2025-05-19,2496.6,2544.33,2350.0,2527.59,2045.01297345
2025-05-20,2528.15,2583.67,2445.2,2521.23,1885.44239444
2025-05-21,2524.1,2613.21,2454.5,2547.38,2907.6907981
2025-05-22,2552.0,2689.99,2547.42,2662.13,2576.7627081
2025-05-23,2663.81,2731.11,2501.31,2524.02,3529.93628872
2025-05-24,2526.7,2573.7,2515.51,2530.73,644.39278515
2025-05-25,2529.35,2552.33,2462.84,2549.53,1551.73977871
2025-05-26,2551.14,2597.59,2526.23,2563.67,1043.65071057
2025-05-27,2563.46,2711.83,2511.37,2663.74,2901.66755221
2025-05-28,2659.47,2686.49,2608.39,2678.38,3752.47011136
2025-05-29,2681.0,2787.16,2620.92,2633.41,2495.78233329
2025-05-30,2630.94,2646.4,2510.0,2530.08,2324.94372094
2025-05-31,2531.52,2548.55,2478.0,2528.17,736.85959556
2025-06-01,2528.1,2547.42,2469.18,2536.61,698.89752569
2025-06-02,2539.84,2614.31,2476.76,2605.54,1378.62063834
2025-06-03,2607.08,2653.73,2575.0,2591.77,1713.26006164
2025-06-04,2592.98,2677.33,2586.42,2607.85,2329.37060155
2025-06-05,2607.44,2638.26,2394.24,2419.36,1882.85925747
2025-06-06,2414.96,2528.29,2384.34,2475.55,2123.53546413
2025-06-07,2473.74,2542.45,2459.28,2524.61,1117.37273503
2025-06-08,2524.65,2545.61,2493.68,2509.84,1189.51536962
2025-06-09,2509.39,2692.12,2479.9,2681.29,1610.56573519
2025-06-10,2680.3,2824.0,2657.82,2812.55,4614.73658584
2025-06-11,2815.46,2878.39,2744.42,2772.5,3187.64702311
2025-06-12,2771.17,2781.75,2620.0,2643.02,1924.33791935
2025-06-13,2642.35,2645.73,2441.05,2579.88,4127.24790604
2025-06-14,2575.99,2575.99,2491.01,2532.29,695.44632643
2025-06-15,2531.35,2557.63,2493.26,2546.1,1231.77730859
2025-06-16,2546.35,2678.1,2516.94,2539.78,2189.76948983
2025-06-17,2537.38,2615.72,2456.14,2509.78,2182.94235755
2025-06-18,2518.77,2545.54,2470.0,2522.48,1270.77500921
2025-06-19,2526.11,2547.48,2485.76,2522.49,870.73361659
2025-06-20,2521.27,2567.97,2368.98,2407.12,2083.50326421
2025-06-21,2404.86,2446.32,2215.19,2295.25,2113.6029012
2025-06-22,2299.5,2313.41,2114.87,2225.43,2297.29481058
2025-06-23,2227.1,2438.47,2191.79,2412.11,2842.42807446
2025-06-24,2412.41,2480.83,2377.05,2445.63,2200.47249194
2025-06-25,2447.31,2466.64,2390.94,2418.95,1624.84641954
2025-06-26,2418.84,2518.0,2394.91,2415.78,2310.50501294
2025-06-27,2415.51,2461.18,2382.64,2422.36,1035.06128746
2025-06-28,2421.64,2445.81,2406.73,2437.21,241.59047226
2025-06-29,2435.0,2523.25,2412.31,2500.02,656.72677375
2025-06-30,2503.97,2521.79,2436.0,2486.54,1087.89051446
2025-07-01,2486.69,2498.34,2388.33,2405.33,1335.60013223
2025-07-02,2404.01,2615.92,2373.81,2569.58,2301.28867196
2025-07-03,2569.47,2633.35,2557.49,2590.82,2324.08333096
2025-07-04,2591.2,2598.31,2475.11,2508.26,1585.25819874
2025-07-05,2509.99,2528.98,2489.86,2518.03,378.04114098
2025-07-06,2516.91,2602.2,2506.09,2570.45,1252.10398579
2025-07-07,2570.79,2588.0,2514.3,2542.41,1088.56881956
2025-07-08,2541.39,2626.54,2526.19,2615.4,2519.9094945
2025-07-09,2615.83,2795.0,2592.12,2769.73,8695.31988179
